Region,Total_Sales,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Product ID,Category,Sub-Category,Product Name,Total_Discount,Dates,Total_profit
West,10019.6,CA-2015-137113,5/12/2015,Second Class,TW-21025,Tamara Willingham,Home Office,United States,Seattle,Washington,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,400.784,12-1-2015,10144.845
West,10043.19,CA-2017-108574,11/10/2017,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Los Angeles,California,TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,0,10-7-2017,10244.0538
West,1005.12,CA-2017-115364,2/7/2017,Standard Class,OT-18730,Olvera Toch,Consumer,United States,San Diego,California,OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,0,26-6-2017,1006.7952
West,10072.8,CA-2016-169663,3/13/2016,First Class,RH-19510,Rick Huthwaite,Home Office,United States,Los Angeles,California,TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,671.52,3-10-2016,10450.53
West,101.568,CA-2016-153661,1/31/2016,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,10.1568,30-1-2016,119.3424
West,101.61,US-2016-108455,8/12/2016,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,San Francisco,California,OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders,0,12-2-2016,110.4162
West,10108.152,US-2017-166688,5/26/2017,Standard Class,RD-19480,Rick Duston,Consumer,United States,Las Vegas,Nevada,TEC-PH-10004094,Technology,Phones,Motorola L703CM,224.6256,20-5-2017,10178.3475
West,10108.512,US-2016-163881,11/30/2016,Standard Class,SP-20860,Sung Pak,Corporate,United States,Los Angeles,California,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,336.9504,24-11-2016,10319.106
West,1011.2,CA-2015-119627,8/23/2015,Standard Class,SC-20725,Steven Cartwright,Consumer,United States,Peoria,Arizona,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,50.56,17-8-2015,979.6
West,10115.28,US-2016-102239,6/5/2016,First Class,LW-16990,Lindsay Williams,Corporate,United States,Henderson,Nevada,FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,0,5-5-2016,10435.5972
West,1014.12,CA-2016-114727,7/24/2016,Standard Class,LS-16945,Linda Southworth,Corporate,United States,Denver,Colorado,OFF-ST-10000689,Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",67.608,18-7-2016,980.316
West,1015.056,US-2014-112991,12/14/2014,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Caldwell,Idaho,FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,67.6704,12-10-2014,1019.2854
West,1016.792,CA-2016-146633,11/17/2016,Second Class,TG-21310,Toby Gnade,Consumer,United States,Los Angeles,California,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,203.3584,15-11-2016,1398.089
West,1018.08,US-2017-132444,11/21/2017,First Class,CD-12280,Christina DeMoss,Consumer,United States,Seattle,Washington,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,0,18-11-2017,1063.8936
West,1019.4,CA-2015-150714,1/11/2015,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Springfield,Oregon,OFF-AP-10003287,Office Supplies,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,40.776,26-10-2015,1039.788
West,1019.6,CA-2015-146038,2/16/2015,Standard Class,SJ-20215,Sarah Jordon,Consumer,United States,Los Angeles,California,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",40.784,2-9-2015,1042.541
West,102.15,CA-2016-115224,11/12/2016,Second Class,DB-13615,Doug Bickford,Consumer,United States,San Francisco,California,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",0,12-8-2016,111.684
West,102.336,CA-2017-135937,2/27/2017,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Gilbert,Arizona,OFF-ST-10000563,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,10.2336,20-2-2017,95.94
West,102.744,CA-2015-141593,12/16/2015,Second Class,DB-12970,Darren Budd,Corporate,United States,Los Angeles,California,OFF-BI-10000948,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",6.8496,14-12-2015,114.3027
West,102.816,CA-2014-130729,10/29/2014,Standard Class,AA-10375,Allen Armold,Consumer,United States,Rancho Cucamonga,California,OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,6.8544,24-10-2014,113.9544
West,102.833,CA-2017-108070,4/20/2017,Standard Class,JE-15745,Joel Eaton,Consumer,United States,San Jose,California,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,15.42495,16-4-2017,96.784
West,102.9,CA-2017-137001,6/13/2017,Second Class,GZ-14545,George Zrebassa,Corporate,United States,Thousand Oaks,California,OFF-AR-10001231,Office Supplies,Art,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",0,6-10-2017,107.016
West,1022.76,CA-2014-144666,11/11/2014,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,0,11-9-2014,1026.1692
West,1022.76,CA-2016-161746,10/27/2016,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Los Angeles,California,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,0,21-10-2016,1026.1692
West,1023.04,CA-2016-126158,7/31/2016,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",0,25-7-2016,1104.8832
West,1024.25,CA-2015-134117,12/19/2015,Second Class,PG-18895,Paul Gonzalez,Consumer,United States,Los Angeles,California,OFF-AR-10003903,Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,0,17-12-2015,1077.511
West,1024.25,CA-2015-137750,6/30/2015,Standard Class,JF-15565,Jill Fjeld,Consumer,United States,San Francisco,California,FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,0,25-6-2015,1081.608
West,1024.5,CA-2014-104563,12/3/2014,Standard Class,CM-12715,Craig Molinari,Corporate,United States,Seattle,Washington,OFF-ST-10000934,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System",0,3-7-2014,1024.5
West,1024.75,CA-2017-113670,10/17/2017,First Class,RS-19765,Roland Schwarz,Corporate,United States,Los Angeles,California,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,0,15-10-2017,1125.1755
West,1024.75,US-2017-113201,5/7/2017,Standard Class,TT-21220,Thomas Thornton,Consumer,United States,Los Angeles,California,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,0,30-6-2017,1125.1755
West,1026.048,CA-2016-107328,8/15/2016,Standard Class,CA-12055,Cathy Armstrong,Home Office,United States,Los Angeles,California,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",102.6048,8-8-2016,1038.8736
West,103.192,CA-2017-105487,10/14/2017,Standard Class,CS-12250,Chris Selesnick,Corporate,United States,San Diego,California,TEC-PH-10001336,Technology,Phones,Digium D40 VoIP phone,20.6384,10-8-2017,114.8011
West,103.25,CA-2014-104563,12/3/2014,Standard Class,CM-12715,Craig Molinari,Corporate,United States,Seattle,Washington,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,0,3-7-2014,112.749
West,103.25,CA-2016-125850,1/28/2016,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,OFF-LA-10004484,Office Supplies,Labels,Avery 476,0,22-1-2016,112.749
West,103.68,CA-2014-104178,8/29/2014,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Los Angeles,California,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,0,25-8-2014,116.1216
West,103.68,CA-2014-127131,11/30/2014,Standard Class,HR-14830,Harold Ryan,Corporate,United States,Seattle,Washington,OFF-PA-10001800,Office Supplies,Paper,Xerox 220,0,24-11-2014,116.1216
West,103.68,CA-2015-107685,2/12/2015,Second Class,JM-15865,John Murray,Consumer,United States,Las Vegas,Nevada,OFF-PA-10003848,Office Supplies,Paper,Xerox 1997,0,30-11-2015,116.1216
West,103.68,CA-2017-105326,8/27/2017,Standard Class,KT-16480,Kean Thornton,Consumer,United States,Los Angeles,California,OFF-PA-10001639,Office Supplies,Paper,Xerox 203,0,20-8-2017,116.1216
West,103.68,CA-2017-139080,1/28/2017,Standard Class,CS-12250,Chris Selesnick,Corporate,United States,Seattle,Washington,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,0,23-1-2017,116.1216
West,103.68,CA-2017-163209,7/5/2017,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,San Francisco,California,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,0,5-3-2017,116.1216
West,103.68,US-2014-112991,12/14/2014,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Caldwell,Idaho,OFF-PA-10000019,Office Supplies,Paper,Xerox 1931,0,12-10-2014,116.1216
West,103.68,US-2016-108455,8/12/2016,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,San Francisco,California,OFF-PA-10002262,Office Supplies,Paper,Xerox 192,0,12-2-2016,116.1216
West,103.936,CA-2014-138681,12/22/2014,First Class,CT-11995,Carol Triggs,Consumer,United States,Tucson,Arizona,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",10.3936,20-12-2014,114.3296
West,103.95,CA-2015-103716,6/5/2015,Standard Class,KB-16585,Ken Black,Corporate,United States,San Francisco,California,OFF-AR-10000658,Office Supplies,Art,Newell 324,0,30-4-2015,113.652
West,103.96,CA-2015-154200,6/22/2015,Standard Class,BG-11740,Bruce Geld,Consumer,United States,San Diego,California,OFF-AR-10001044,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",0,18-6-2015,119.0342
West,1034.73,CA-2014-119144,11/18/2014,First Class,JD-16150,Justin Deggeller,Corporate,United States,Los Angeles,California,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,0,16-11-2014,1045.0773
West,1034.73,CA-2017-122490,11/18/2017,Standard Class,TT-21070,Ted Trevino,Consumer,United States,Seattle,Washington,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,0,13-11-2017,1045.0773
West,1036.512,CA-2017-156958,6/12/2017,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,OFF-BI-10001543,Office Supplies,Binders,GBC VeloBinder Manual Binding System,34.5504,12-5-2017,1096.9752
West,1036.544,CA-2014-123295,7/18/2014,Same Day,AH-10120,Adrian Hane,Home Office,United States,Tucson,Arizona,FUR-CH-10002372,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,51.8272,18-7-2014,1010.6304
West,1036.75,US-2015-129007,9/15/2015,First Class,KD-16615,Ken Dana,Corporate,United States,Anaheim,California,FUR-FU-10002379,Furniture,Furnishings,Eldon Econocleat Chair Mats for Low Pile Carpets,0,13-9-2015,1061.632
West,1039.2,CA-2014-129364,12/13/2014,Standard Class,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,TEC-AC-10004227,Technology,Accessories,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,20.784,12-8-2014,1021.014
West,1039.992,CA-2017-110443,11/25/2017,Standard Class,CK-12205,Chloris Kastensmidt,Consumer,United States,Renton,Washington,TEC-MA-10002073,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, White",207.9984,21-11-2017,1143.9912
West,104.696,CA-2016-108959,3/14/2016,Second Class,MH-17785,Maya Herman,Corporate,United States,Glendale,Arizona,OFF-ST-10001272,Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",20.9392,3-10-2016,111.2395
West,104.784,CA-2016-163328,6/11/2016,Second Class,TP-21565,Tracy Poddar,Corporate,United States,Eugene,Oregon,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",20.9568,11-4-2016,90.3762
West,104.8,CA-2017-133046,1/8/2017,Second Class,DK-13375,Dennis Kane,Consumer,United States,Seattle,Washington,OFF-PA-10003883,Office Supplies,Paper,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",0,27-7-2017,116.852
West,104.85,CA-2014-141726,7/22/2014,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,OFF-PA-10000418,Office Supplies,Paper,Xerox 189,0,20-7-2014,155.178
West,104.85,CA-2016-100300,6/26/2016,Second Class,MJ-17740,Max Jones,Consumer,United States,San Diego,California,OFF-PA-10000418,Office Supplies,Paper,Xerox 189,0,24-6-2016,155.178
West,104.85,CA-2016-112060,9/12/2016,Standard Class,KT-16465,Kean Takahito,Consumer,United States,San Francisco,California,OFF-PA-10000994,Office Supplies,Paper,Xerox 1915,0,12-4-2016,155.178
West,1043.92,CA-2017-143126,7/12/2017,Second Class,CM-12655,Corinna Mitchell,Home Office,United States,Seattle,Washington,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",0,12-3-2017,1132.6532
West,10431.504,CA-2017-102379,6/12/2017,Standard Class,BB-11545,Brenda Bowman,Corporate,United States,Oakland,California,FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,231.8112,12-2-2017,10474.9686
West,1048,CA-2016-165330,11/12/2016,Same Day,WB-21850,William Brown,Consumer,United States,Anaheim,California,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,41.92,12-11-2016,1116.12
West,1048.11,CA-2017-154074,2/9/2017,Second Class,BW-11110,Bart Watters,Corporate,United States,Spokane,Washington,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",0,31-8-2017,1091.5317
West,105.3,CA-2016-128412,12/17/2016,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Seattle,Washington,OFF-AP-10000252,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,0,12-10-2016,117.585
West,105.52,CA-2017-111759,12/7/2017,Standard Class,MR-17545,Mathew Reese,Home Office,United States,Seattle,Washington,OFF-PA-10003127,Office Supplies,Paper,Easy-staple paper,0,7-8-2017,129.7896
West,105.52,US-2015-136987,4/14/2015,Second Class,AR-10540,Andy Reiter,Consumer,United States,Los Angeles,California,OFF-PA-10003127,Office Supplies,Paper,Easy-staple paper,0,4-11-2015,129.7896
West,105.84,CA-2016-120005,3/3/2016,Same Day,TS-21160,Theresa Swint,Corporate,United States,San Francisco,California,FUR-FU-10000672,Furniture,Furnishings,"Executive Impressions 10"" Spectator Wall Clock",0,3-3-2016,117.8352
West,105.96,CA-2014-128055,5/4/2014,Standard Class,AA-10315,Alex Avila,Consumer,United States,San Francisco,California,OFF-AP-10002765,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,0,31-3-2014,120.7944
West,1053.648,US-2014-165862,7/17/2014,Standard Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,FUR-TA-10002855,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,70.2432,13-7-2014,1058.0382
West,1054.296,US-2017-109253,8/22/2017,First Class,PR-18880,Patrick Ryan,Consumer,United States,Oakland,California,OFF-BI-10000962,Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",23.4288,21-8-2017,1096.7607
West,106.496,CA-2016-148908,8/11/2016,First Class,JH-15985,Joseph Holt,Consumer,United States,San Francisco,California,OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,10.6496,11-5-2016,126.464
West,106.8,CA-2014-165568,2/19/2014,Standard Class,BF-11020,Barry Französisch,Corporate,United States,Seattle,Washington,OFF-BI-10001031,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,4.272,15-2-2014,114.009
West,106.82,CA-2016-109365,8/11/2016,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,OFF-FA-10001561,Office Supplies,Fasteners,Stockwell Push Pins,0,11-3-2016,111.8558
West,106.88,US-2017-147886,3/31/2017,First Class,DH-13075,Dave Hallsten,Corporate,United States,Fairfield,California,OFF-PA-10003651,Office Supplies,Paper,Xerox 1968,0,28-3-2017,119.7056
West,1061.34,CA-2016-109953,7/18/2016,Standard Class,RB-19360,Raymond Buch,Consumer,United States,San Francisco,California,OFF-AP-10002998,Office Supplies,Appliances,Holmes 99% HEPA Air Purifier,0,14-7-2016,1111.3746
West,1065.44,US-2017-147886,3/31/2017,First Class,DH-13075,Dave Hallsten,Corporate,United States,Fairfield,California,TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,106.544,28-3-2017,1118.712
West,107,CA-2014-116785,4/30/2014,Standard Class,MH-17290,Marc Harrigan,Home Office,United States,Los Angeles,California,OFF-AR-10003504,Office Supplies,Art,Newell 347,0,26-4-2014,113.206
West,107,CA-2014-168305,8/11/2014,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,OFF-PA-10004947,Office Supplies,Paper,Easy-staple paper,0,11-1-2014,116.63
West,107,CA-2017-160934,1/19/2017,Standard Class,TT-21460,Tonja Turnell,Home Office,United States,Los Angeles,California,OFF-AR-10003504,Office Supplies,Art,Newell 347,0,15-1-2017,113.206
West,107,US-2016-128678,9/20/2016,Standard Class,RB-19570,Rob Beeghly,Consumer,United States,Seattle,Washington,OFF-PA-10000807,Office Supplies,Paper,"TOPS ""Important Message"" Pads, Canary, 4-1/4 x 5-1/2, 50 Sheets per Pad",0,15-9-2016,117.058
West,107.04,CA-2014-164721,11/27/2014,Second Class,LW-16825,Laurel Workman,Corporate,United States,Brentwood,California,OFF-PA-10000575,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",0,25-11-2014,119.3496
West,107.424,CA-2016-165330,11/12/2016,Same Day,WB-21850,William Brown,Consumer,United States,Anaheim,California,OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,7.1616,12-11-2016,118.614
West,107.53,CA-2017-104801,2/19/2017,Standard Class,FH-14350,Fred Harton,Consumer,United States,Seattle,Washington,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",0,13-2-2017,129.036
West,107.904,CA-2015-169278,5/25/2015,Standard Class,ME-18010,Michelle Ellison,Corporate,United States,Seattle,Washington,OFF-BI-10001636,Office Supplies,Binders,Ibico Plastic and Wire Spiral Binding Combs,5.3952,21-5-2015,116.6712
West,107.904,CA-2016-161669,9/11/2016,First Class,EM-14095,Eudokia Martin,Corporate,United States,Los Angeles,California,OFF-BI-10001636,Office Supplies,Binders,Ibico Plastic and Wire Spiral Binding Combs,5.3952,11-7-2016,116.6712
West,107.984,CA-2016-155474,7/14/2016,Standard Class,CC-12220,Chris Cortes,Consumer,United States,Seattle,Washington,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,21.5968,7-8-2016,117.4326
West,1074.75,CA-2017-106859,3/18/2017,Second Class,BF-11215,Benjamin Farhat,Home Office,United States,Albuquerque,New Mexico,TEC-AC-10004001,Technology,Accessories,Logitech Wireless Headset H600 Over-The-Head Design,0,13-3-2017,1162.8795
West,1078.25,CA-2016-100965,11/7/2016,Standard Class,RM-19375,Raymond Messe,Consumer,United States,San Jose,California,FUR-FU-10003039,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",0,7-7-2016,1151.571
West,1078.497,US-2015-145422,7/12/2015,Standard Class,PW-19240,Pierre Wener,Consumer,United States,San Francisco,California,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",53.92485,12-3-2015,1048.8912
