Sub-Category,Total_Sales,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Product Name,Total_Discount,Dates,Total_profit
Phones,105.504,CA-2015-128608,1/17/2015,Standard Class,CS-12490,Cindy Schnelling,Corporate,United States,Toledo,Ohio,East,TEC-PH-10000912,Technology,Anker 24W Portable Micro USB Car Charger,10.5504,1-12-2015,108.1416
Phones,1055.84,CA-2015-134747,10/17/2015,Second Class,DL-12925,Daniel Lacy,Consumer,United States,Noblesville,Indiana,Central,TEC-PH-10001750,Technology,Samsung Rugby III,0,10-12-2015,1127.1092
Phones,1055.84,CA-2016-132997,9/11/2016,First Class,LW-17215,Luke Weiss,Consumer,United States,Rochester,New York,East,TEC-PH-10000586,Technology,AT&T SB67148 SynJ,0,11-7-2016,1127.1092
Phones,1055.84,US-2015-151407,12/11/2015,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Dubuque,Iowa,Central,TEC-PH-10003885,Technology,Cisco SPA508G,0,11-8-2015,1132.3884
Phones,107.64,CA-2017-139913,10/29/2017,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Rochester,New York,East,TEC-PH-10001552,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,0,23-10-2017,117.6864
Phones,107.73,CA-2017-144638,3/14/2017,Standard Class,MH-18115,Mick Hernandez,Home Office,United States,Chester,Pennsylvania,East,TEC-PH-10000149,Technology,Cisco SPA525G2 IP Phone - Wireless,14.364,3-10-2017,99.351
Phones,107.984,CA-2016-155474,7/14/2016,Standard Class,CC-12220,Chris Cortes,Consumer,United States,Seattle,Washington,West,TEC-PH-10001580,Technology,Logitech Mobile Speakerphone P710e - speaker phone,21.5968,7-8-2016,117.4326
Phones,1074.6,CA-2017-161410,3/7/2017,Standard Class,CC-12220,Chris Cortes,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-PH-10001760,Technology,Bose SoundLink Bluetooth Speaker,143.28,26-6-2017,1116.39
Phones,1078.2,CA-2016-168844,6/6/2016,Standard Class,NM-18520,Neoma Murray,Consumer,United States,New York City,New York,East,TEC-PH-10003215,Technology,Jackery Bar Premium Fast-charging Portable Charger,0,31-5-2016,1166.253
Phones,1079.64,CA-2015-123155,12/3/2015,First Class,NS-18640,Noel Staavos,Corporate,United States,San Antonio,Texas,Central,TEC-PH-10001809,Technology,Panasonic KX T7736-B Digital phone,71.976,3-9-2015,1102.1325
Phones,1079.91,CA-2016-132997,9/11/2016,First Class,LW-17215,Luke Weiss,Consumer,United States,Rochester,New York,East,TEC-PH-10003811,Technology,Jabra Supreme Plus Driver Edition Headset,0,11-7-2016,1180.7016
Phones,1079.928,CA-2016-110044,2/7/2016,Second Class,RF-19735,Roland Fjeld,Consumer,United States,Chicago,Illinois,Central,TEC-PH-10001299,Technology,Polycom CX300 Desktop Phone USB VoIP phone,71.9952,28-6-2016,1115.9256
Phones,1079.928,CA-2017-144589,1/25/2017,Standard Class,TM-21010,Tamara Manning,Consumer,United States,San Francisco,California,West,TEC-PH-10003072,Technology,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,71.9952,20-1-2017,1210.4193
Phones,1087.84,CA-2017-104731,7/27/2017,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Salem,Virginia,South,TEC-PH-10002660,Technology,Nortel Networks T7316 E Nt8 B27,0,21-7-2017,1155.83
Phones,109.592,CA-2016-129238,4/2/2016,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,West,TEC-PH-10004120,Technology,AT&T 1080 Phone,21.9184,31-1-2016,117.8114
Phones,1099,CA-2017-113355,5/12/2017,Standard Class,SJ-20215,Sarah Jordon,Consumer,United States,Grand Prairie,Texas,Central,TEC-PH-10004912,Technology,Cisco SPA112 2 Port Phone Adapter,43.96,12-1-2017,1123.7275
Phones,1099.96,CA-2015-114811,8/11/2015,Same Day,KD-16495,Keith Dawkins,Corporate,United States,New York City,New York,East,TEC-PH-10004165,Technology,Mitel MiVoice 5330e IP Phone,0,11-8-2015,1242.9548
Phones,11.992,CA-2016-150889,3/22/2016,Second Class,PB-19105,Peter Bühler,Consumer,United States,Evanston,Illinois,Central,TEC-PH-10000004,Technology,Belkin iPhone and iPad Lightning Cable,2.3984,20-3-2016,12.8914
Phones,110,CA-2017-101483,1/8/2017,Second Class,AG-10675,Anna Gayman,Consumer,United States,Jacksonville,North Carolina,South,TEC-PH-10003442,Technology,Samsung Replacement EH64AVFWE Premium Headset,4.4,29-7-2017,111.375
Phones,110,US-2017-140312,11/19/2017,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Dublin,California,West,TEC-PH-10003442,Technology,Samsung Replacement EH64AVFWE Premium Headset,4.4,13-11-2017,111.375
Phones,110.376,US-2014-105767,5/27/2014,Standard Class,AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-PH-10003092,Technology,Motorola L804,22.0752,23-5-2014,100.2582
Phones,1108.728,CA-2016-161816,1/5/2016,First Class,NB-18655,Nona Balk,Corporate,United States,Dallas,Texas,Central,TEC-PH-10003012,Technology,Nortel Meridian M3904 Professional Digital phone,73.9152,28-4-2016,1150.3053
Phones,111.96,CA-2017-159464,5/19/2017,First Class,TB-21355,Todd Boyes,Corporate,United States,Sandy Springs,Georgia,South,TEC-PH-10002350,Technology,Apple EarPods with Remote and Mic,0,18-5-2017,127.6344
Phones,111.968,CA-2015-104115,6/16/2015,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,West Palm Beach,Florida,South,TEC-PH-10002844,Technology,Speck Products Candyshell Flip Case,11.1968,6-12-2015,116.1668
Phones,1112.346,US-2017-116659,12/11/2017,Same Day,NG-18355,Nat Gilpin,Corporate,United States,Newark,Ohio,East,TEC-PH-10002824,Technology,Jabra SPEAK 410 Multidevice Speakerphone,148.3128,11-12-2017,1019.6505
Phones,1119.84,CA-2014-124730,11/26/2014,Same Day,LS-17245,Lynn Smith,Consumer,United States,Utica,New York,East,TEC-PH-10002170,Technology,ClearSounds CSC500 Amplified Spirit Phone Corded phone,0,26-11-2014,1198.2288
Phones,1119.968,CA-2014-163419,11/14/2014,Second Class,TZ-21580,Tracy Zic,Consumer,United States,Louisville,Colorado,West,TEC-PH-10000560,Technology,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),111.9968,11-11-2014,1175.9664
Phones,1123.128,CA-2017-137099,10/12/2017,First Class,FP-14320,Frank Preis,Consumer,United States,Los Angeles,California,West,TEC-PH-10002496,Technology,Cisco SPA301,74.8752,12-7-2017,1169.925
Phones,1123.75,CA-2016-153157,9/14/2016,First Class,TB-21625,Trudy Brown,Consumer,United States,Wichita,Kansas,Central,TEC-PH-10003171,Technology,Plantronics Encore H101 Dual Earpieces Headset,0,9-11-2016,1186.68
Phones,1125.888,CA-2017-106859,3/18/2017,Second Class,BF-11215,Benjamin Farhat,Home Office,United States,Albuquerque,New Mexico,West,TEC-PH-10004531,Technology,OtterBox Commuter Series Case - iPhone 5 & 5s,28.1472,13-3-2017,1175.1456
Phones,1126.51,US-2017-103247,8/10/2017,Second Class,PO-19195,Phillina Ober,Home Office,United States,New York City,New York,East,TEC-PH-10003555,Technology,Motorola HK250 Universal Bluetooth Headset,0,10-5-2017,1129.7286
Phones,1131,CA-2015-109386,11/13/2015,Second Class,RH-19600,Rob Haberlin,Consumer,United States,Hampton,Virginia,South,TEC-PH-10002890,Technology,AT&T 17929 Lendline Telephone,0,11-8-2015,1189.812
Phones,1133.91,CA-2014-100006,9/13/2014,Standard Class,DK-13375,Dennis Kane,Consumer,United States,New York City,New York,East,TEC-PH-10002075,Technology,AT&T EL51110 DECT,0,9-7-2014,1243.5213
Phones,1133.91,CA-2015-115798,11/19/2015,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Newark,Delaware,East,TEC-PH-10003691,Technology,BlackBerry Q10,0,13-11-2015,1228.4025
Phones,1133.91,CA-2015-136798,12/5/2015,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Minneapolis,Minnesota,Central,TEC-PH-10000441,Technology,VTech DS6151,0,5-8-2015,1239.7416
Phones,1133.91,CA-2016-155005,6/15/2016,Second Class,SC-20050,Sample Company A,Home Office,United States,Jackson,Michigan,Central,TEC-PH-10003484,Technology,Ooma Telo VoIP Home Phone System,0,13-6-2016,1228.4025
Phones,1133.91,CA-2017-138975,5/23/2017,Standard Class,SC-20380,Shahid Collister,Consumer,United States,Atlanta,Georgia,South,TEC-PH-10004389,Technology,Nokia Lumia 925,0,19-5-2017,1232.1822
Phones,1139.28,CA-2015-137974,4/18/2015,First Class,LL-16840,Lauren Leatherbury,Consumer,United States,Waynesboro,Virginia,South,TEC-PH-10002033,Technology,Konftel 250 Conference phone - Charcoal black,0,16-4-2015,1287.3864
Phones,1142.304,CA-2017-126144,5/8/2017,Standard Class,GM-14680,Greg Matthias,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-PH-10001079,Technology,Polycom SoundPoint Pro SE-225 Corded phone,114.2304,31-7-2017,1085.1888
Phones,1144.728,CA-2017-132682,10/6/2017,Second Class,TH-21235,Tiffany House,Corporate,United States,Dallas,Texas,Central,TEC-PH-10004042,Technology,ClearOne Communications CHAT 70 OC Speaker Phone,76.3152,6-8-2017,1173.3462
Phones,1145.6,CA-2015-156566,4/10/2015,First Class,EM-13960,Eric Murdock,Consumer,United States,Portland,Oregon,West,TEC-PH-10001817,Technology,Wilson Electronics DB Pro Signal Booster,114.56,10-1-2015,1195.72
Phones,1151.84,CA-2014-153983,6/12/2014,Standard Class,AH-10210,Alan Hwang,Consumer,United States,San Francisco,California,West,TEC-PH-10004586,Technology,Wilson SignalBoost 841262 DB PRO Amplifier Kit,115.184,29-11-2014,1223.83
Phones,1151.84,CA-2014-160773,5/7/2014,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,South,TEC-PH-10004586,Technology,Wilson SignalBoost 841262 DB PRO Amplifier Kit,115.184,7-1-2014,1223.83
Phones,11519.36,CA-2017-145884,10/21/2017,Same Day,SL-20155,Sara Luxemburg,Home Office,United States,Muskogee,Oklahoma,Central,TEC-PH-10000895,Technology,Polycom VVX 310 VoIP phone,0,21-10-2017,11893.7392
Phones,116.76,CA-2016-104276,3/12/2016,Standard Class,HF-14995,Herbert Flentye,Consumer,United States,Fort Lauderdale,Florida,South,TEC-PH-10001944,Technology,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,23.352,27-11-2016,131.355
Phones,116.91,CA-2017-148922,12/15/2017,Second Class,SU-20665,Stephanie Ulpright,Home Office,United States,Jackson,Mississippi,South,TEC-PH-10000148,Technology,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,0,12-10-2017,117.6894
Phones,1179.8,CA-2015-117800,9/26/2015,Standard Class,TH-21550,Tracy Hopkins,Home Office,United States,Everett,Massachusetts,East,TEC-PH-10002415,Technology,Polycom VoiceStation 500 Conference phone,0,21-9-2015,1327.275
Phones,118.24,CA-2016-139381,4/22/2016,Standard Class,RF-19840,Roy Französisch,Consumer,United States,Chesapeake,Virginia,South,TEC-PH-10004924,Technology,"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",0,18-4-2016,126.2212
Phones,118.368,CA-2016-134474,7/1/2016,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-PH-10002923,Technology,"Logitech B530 USB Headset - headset - Full size, Binaural",11.8368,1-5-2016,123.5466
Phones,118.99,CA-2016-133550,6/8/2016,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Detroit,Michigan,Central,TEC-PH-10001079,Technology,Polycom SoundPoint Pro SE-225 Corded phone,0,31-7-2016,152.3072
Phones,119.96,CA-2017-118864,6/19/2017,Second Class,KH-16690,Kristen Hastings,Corporate,United States,Los Angeles,California,West,TEC-PH-10001809,Technology,Panasonic KX T7736-B Digital phone,23.992,15-6-2017,127.4575
Phones,119.96,US-2016-119298,11/28/2016,First Class,EP-13915,Emily Phan,Consumer,United States,Jonesboro,Arkansas,South,TEC-PH-10002564,Technology,OtterBox Defender Series Case - Samsung Galaxy S4,0,25-11-2016,137.954
Phones,1199.4,CA-2017-138611,11/17/2017,Second Class,CK-12595,Clytie Kelty,Consumer,United States,Grove City,Ohio,East,TEC-PH-10000011,Technology,PureGear Roll-On Screen Protector,47.976,14-11-2017,1215.392
Phones,12.99,US-2016-160206,7/4/2016,Standard Class,MY-18295,Muhammed Yedwab,Corporate,United States,Milwaukee,Wisconsin,Central,TEC-PH-10000148,Technology,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,0,4-1-2016,13.2498
Phones,1203.072,US-2016-135720,12/13/2016,Second Class,FM-14380,Fred McMath,Consumer,United States,Aurora,Colorado,West,TEC-PH-10002103,Technology,Jabra SPEAK 410,60.1536,12-11-2016,1233.1488
Phones,1214.82,CA-2016-114482,11/25/2016,Second Class,DM-13345,Denise Monton,Corporate,United States,Des Moines,Iowa,Central,TEC-PH-10001580,Technology,Logitech Mobile Speakerphone P710e - speaker phone,0,21-11-2016,1324.1538
Phones,12149.19,CA-2014-125997,9/23/2014,First Class,MW-18220,Mitch Webber,Consumer,United States,New York City,New York,East,TEC-PH-10003072,Technology,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,0,20-9-2014,12810.6459
Phones,1215.592,US-2014-138247,12/29/2014,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Los Angeles,California,West,TEC-PH-10000213,Technology,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,34.7312,24-12-2014,1232.9576
Phones,122.04,CA-2014-101602,12/18/2014,First Class,MC-18100,Mick Crebagga,Consumer,United States,El Paso,Texas,Central,TEC-PH-10000169,Technology,ARKON Windshield Dashboard Air Vent Car Mount Holder,8.136,15-12-2014,112.887
Phones,122.04,CA-2016-159989,12/13/2016,Standard Class,EB-13870,Emily Burns,Consumer,United States,Franklin,Tennessee,South,TEC-PH-10000169,Technology,ARKON Windshield Dashboard Air Vent Car Mount Holder,8.136,12-9-2016,112.887
Phones,1228.672,CA-2015-112711,7/18/2015,Standard Class,FM-14380,Fred McMath,Consumer,United States,Amarillo,Texas,Central,TEC-PH-10000526,Technology,Vtech CS6719,61.4336,7-12-2015,1259.3888
Phones,1238.304,CA-2017-125199,10/25/2017,Standard Class,HM-14860,Harry Marie,Corporate,United States,Philadelphia,Pennsylvania,East,TEC-PH-10001336,Technology,Digium D40 VoIP phone,123.8304,19-10-2017,1181.5484
Phones,124.792,CA-2017-130771,3/8/2017,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Austin,Texas,Central,TEC-PH-10002496,Technology,Cisco SPA301,24.9584,29-7-2017,140.391
Phones,124.792,CA-2017-154039,2/22/2017,Standard Class,JK-16120,Julie Kriz,Home Office,United States,Chicago,Illinois,Central,TEC-PH-10002789,Technology,LG Exalt,24.9584,17-2-2017,135.7113
Phones,125.99,CA-2015-135853,12/14/2015,First Class,CA-12775,Cynthia Arntzen,Consumer,United States,Detroit,Michigan,Central,TEC-PH-10003691,Technology,BlackBerry Q10,0,12-11-2015,157.4875
Phones,125.99,CA-2016-152730,4/6/2016,Standard Class,EM-14140,Eugene Moren,Home Office,United States,Superior,Wisconsin,Central,TEC-PH-10000441,Technology,VTech DS6151,0,30-5-2016,161.2672
Phones,1263.384,US-2017-160465,7/26/2017,Standard Class,SW-20350,Sean Wendt,Home Office,United States,Cleveland,Ohio,East,TEC-PH-10004522,Technology,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,84.2256,21-7-2017,1210.743
Phones,127.872,CA-2017-121468,11/20/2017,First Class,KD-16345,Katherine Ducich,Consumer,United States,Westminster,California,West,TEC-PH-10000376,Technology,Square Credit Card Reader,6.3936,19-11-2017,130.2696
Phones,1279.872,CA-2014-102330,3/1/2015,Standard Class,AI-10855,Arianne Irving,Consumer,United States,Brentwood,California,West,TEC-PH-10001051,Technology,HTC One,63.9936,29-12-2014,1315.8684
Phones,1279.872,CA-2015-123232,12/16/2015,Second Class,DJ-13630,Doug Jacobs,Consumer,United States,Portland,Oregon,West,TEC-PH-10001051,Technology,HTC One,63.9936,14-12-2015,1315.8684
Phones,129.528,CA-2015-121188,4/9/2015,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,West,TEC-PH-10003589,Technology,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,8.6352,28-8-2015,144.6396
Phones,129.528,CA-2017-101182,5/9/2017,First Class,KB-16405,Katrina Bavinger,Home Office,United States,Apple Valley,California,West,TEC-PH-10003589,Technology,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,8.6352,9-4-2017,144.6396
Phones,1292.76,CA-2014-124737,8/27/2014,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,West,TEC-PH-10000149,Technology,Cisco SPA525G2 IP Phone - Wireless,28.728,23-8-2014,1303.533
Phones,1295.352,CA-2017-102610,8/11/2017,Standard Class,CA-12265,Christina Anderson,Consumer,United States,Chattanooga,Tennessee,South,TEC-PH-10000127,Technology,iOttie XL Car Mount,28.7856,11-4-2017,1262.9682
Phones,1295.928,CA-2016-103982,8/3/2016,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,Central,TEC-PH-10000895,Technology,Polycom VVX 310 VoIP phone,86.3952,3-3-2016,1328.3262
Phones,1295.928,US-2016-169040,12/12/2016,Standard Class,GT-14710,Greg Tran,Consumer,United States,Seattle,Washington,West,TEC-PH-10002834,Technology,Google Nexus 5,86.3952,12-6-2016,1322.9265
Phones,13.494,CA-2014-164182,7/18/2014,Standard Class,ST-20530,Shui Tom,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-PH-10002070,Technology,Griffin GC36547 PowerJolt SE Lightning Charger,5.3976,14-7-2014,11.245
Phones,13090.41,CA-2017-143063,8/15/2017,Standard Class,IL-15100,Ivan Liston,Consumer,United States,Columbus,Indiana,Central,TEC-PH-10003645,Technology,Aastra 57i VoIP phone,0,8-10-2017,13468.5774
Phones,1312.896,CA-2016-125318,6/13/2016,Standard Class,RC-19825,Roy Collins,Consumer,United States,Chicago,Illinois,Central,TEC-PH-10001433,Technology,Cisco Small Business SPA 502G VoIP phone,65.6448,6-6-2016,1341.6156
Phones,1313.55,CA-2016-153178,9/18/2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Long Beach,New York,East,TEC-PH-10001944,Technology,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,0,14-9-2016,1444.905
Phones,1313.55,CA-2016-164091,9/22/2016,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Bangor,Maine,East,TEC-PH-10001944,Technology,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,0,17-9-2016,1444.905
Phones,1313.55,CA-2017-160325,9/24/2017,Same Day,BP-11095,Bart Pistole,Corporate,United States,Lawrence,Massachusetts,East,TEC-PH-10001944,Technology,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,0,24-9-2017,1444.905
Phones,1319.8,CA-2014-164469,6/27/2014,Second Class,GK-14620,Grace Kelly,Corporate,United States,Salem,Oregon,West,TEC-PH-10002115,Technology,Plantronics 81402,52.792,25-6-2014,1339.597
Phones,1319.8,CA-2015-124800,9/30/2015,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Mesa,Arizona,West,TEC-PH-10001750,Technology,Samsung Rugby III,52.792,26-9-2015,1342.8965
Phones,13362.048,CA-2014-139192,1/6/2014,Second Class,LC-16885,Lena Creighton,Consumer,United States,San Francisco,California,West,TEC-PH-10000486,Technology,Plantronics HL10 Handset Lifter,222.7008,27-5-2014,13487.3172
Phones,1339.8,US-2014-168501,11/27/2014,Standard Class,JK-15325,Jason Klamczynski,Corporate,United States,Dallas,Texas,Central,TEC-PH-10004922,Technology,RCA Visys Integrated PBX 8-Line Router,53.592,21-11-2014,1356.5475
Phones,134.99,US-2015-138093,12/16/2015,Standard Class,KM-16225,Kalyca Meade,Corporate,United States,Baltimore,Maryland,East,TEC-PH-10004667,Technology,Cisco 8x8 Inc. 6753i IP Business Phone System,0,12-10-2015,171.4373
Phones,1343.968,CA-2017-134915,12/11/2017,Same Day,EM-14140,Eugene Moren,Home Office,United States,Glendale,Arizona,West,TEC-PH-10001459,Technology,Samsung Galaxy Mega 6.3,134.3968,11-12-2017,1394.3668
Phones,1349.91,CA-2016-147256,10/21/2016,Second Class,FC-14245,Frank Carlisle,Home Office,United States,Columbia,Missouri,Central,TEC-PH-10003072,Technology,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,0,17-10-2016,1570.3953
Phones,135.516,CA-2014-102869,9/14/2014,Second Class,LC-17140,Logan Currie,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-PH-10002549,Technology,Polycom SoundPoint IP 450 VoIP phone,54.2064,9-9-2014,103.8956
Phones,135.95,CA-2016-160234,3/7/2016,Standard Class,PF-19225,Phillip Flathmann,Consumer,United States,Atlanta,Georgia,South,TEC-PH-10004434,Technology,Cisco IP Phone 7961G VoIP phone - Dark gray,0,26-6-2016,175.3755
Phones,135.99,CA-2014-110065,11/8/2014,Standard Class,SP-20650,Stephanie Phelps,Corporate,United States,New York City,New York,East,TEC-PH-10002468,Technology,"Plantronics CS 50-USB - headset - Convertible, Monaural",0,8-5-2014,172.7073
Phones,135.99,CA-2015-122973,7/20/2015,Second Class,PJ-19015,Pauline Johnson,Consumer,United States,New York City,New York,East,TEC-PH-10002468,Technology,"Plantronics CS 50-USB - headset - Convertible, Monaural",0,18-7-2015,172.7073
Phones,13523.706,US-2017-118087,9/13/2017,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,East,TEC-PH-10002200,Technology,Samsung Galaxy Note 2,772.7832,9-9-2017,13137.3144
Phones,1359.8,CA-2017-133235,4/8/2017,First Class,LH-16750,Larry Hughes,Consumer,United States,Charlotte,North Carolina,South,TEC-PH-10002660,Technology,Nortel Networks T7316 E Nt8 B27,54.392,8-1-2017,1376.7975
Phones,1359.8,US-2016-103674,10/12/2016,Standard Class,AP-10720,Anne Pryor,Home Office,United States,Los Angeles,California,West,TEC-PH-10004080,Technology,Avaya 5410 Digital phone,54.392,12-6-2016,1386.996
Phones,136.99,CA-2017-148691,9/12/2017,Standard Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,East,TEC-PH-10000576,Technology,AT&T 1080 Corded phone,0,12-3-2017,173.9773
Phones,1360.728,CA-2015-132101,3/25/2015,Standard Class,JO-15550,Jesus Ocampo,Home Office,United States,Seattle,Washington,West,TEC-PH-10004539,Technology,Wireless Extenders zBoost YX545 SOHO Signal Booster,90.7152,19-3-2015,1400.4159
Phones,1360.728,CA-2016-132829,12/26/2016,Second Class,LA-16780,Laura Armstrong,Corporate,United States,Houston,Texas,Central,TEC-PH-10004539,Technology,Wireless Extenders zBoost YX545 SOHO Signal Booster,90.7152,23-12-2016,1400.4159
Phones,1364.76,US-2017-101840,12/2/2017,Standard Class,SP-20545,Sibella Parks,Corporate,United States,New York City,New York,East,TEC-PH-10002538,Technology,Grandstream GXP1160 VoIP phone,0,2-6-2017,1430.7234
