Category,Total_Sales,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Sub-Category,Product Name,Total_Discount,Dates,Total_profit
Office Supplies,1.632,US-2014-168501,11/27/2014,Standard Class,JK-15325,Jason Klamczynski,Corporate,United States,Dallas,Texas,Central,OFF-EN-10001509,Envelopes,Poly String Tie Envelopes,0.3264,21-11-2014,2.1828
Office Supplies,1.64,CA-2017-117702,4/12/2017,Standard Class,LS-16975,Lindsay Shagiari,Home Office,United States,Baltimore,Maryland,East,OFF-AR-10004582,Art,BIC Brite Liner Grip Highlighters,0,28-11-2017,2.378
Office Supplies,1.641,CA-2017-119193,12/24/2017,First Class,SK-19990,Sally Knutson,Consumer,United States,Toledo,Ohio,East,OFF-BI-10000848,Binders,Angle-D Ring Binders,1.1487,22-12-2017,0.3282
Office Supplies,1.68,CA-2016-111682,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Art,Prang Dustless Chalk Sticks,0,17-6-2016,2.52
Office Supplies,1.72,CA-2015-150413,10/24/2015,Second Class,CS-11860,Cari Schnelling,Consumer,United States,Dallas,Texas,Central,OFF-BI-10000404,Binders,Avery Printable Repositionable Plastic Tabs,1.376,19-10-2015,'-1.118
Office Supplies,1.728,CA-2016-126004,5/12/2016,First Class,BM-11140,Becky Martin,Consumer,United States,New York City,New York,East,OFF-BI-10004656,Binders,Peel & Stick Add-On Corner Pockets,0.3456,12-4-2016,2.3328
Office Supplies,1.744,US-2017-139955,9/30/2017,Second Class,CM-12160,Charles McCrossin,Consumer,United States,Brownsville,Texas,Central,OFF-SU-10001935,Supplies,Staple remover,0.3488,28-9-2017,1.3952
Office Supplies,1.752,CA-2017-130904,4/16/2017,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,Burlington,North Carolina,South,OFF-AR-10000422,Art,Pencil and Crayon Sharpener,0.3504,4-11-2017,1.9053
Office Supplies,1.78,US-2015-168732,12/16/2015,Standard Class,KM-16660,Khloe Miller,Consumer,United States,Roswell,Georgia,South,OFF-AR-10003087,Art,Staples in misc. colors,0,12-10-2015,2.2784
Office Supplies,1.81,CA-2016-116540,2/9/2016,Same Day,SS-20590,Sonia Sunley,Consumer,United States,Madison,Wisconsin,Central,OFF-FA-10002676,Fasteners,Colored Push Pins,0,9-2-2016,2.4616
Office Supplies,1.81,CA-2017-166933,4/28/2017,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Santa Barbara,California,West,OFF-FA-10002676,Fasteners,Colored Push Pins,0,24-4-2017,2.4616
Office Supplies,1.824,CA-2017-121678,11/20/2017,Second Class,BM-11650,Brian Moss,Corporate,United States,Elyria,Ohio,East,OFF-BI-10002949,Binders,Prestige Round Ring Binders,1.2768,16-11-2017,0.4256
Office Supplies,1.869,CA-2014-101770,4/4/2014,Standard Class,KB-16240,Karen Bern,Corporate,United States,Miami,Florida,South,OFF-BI-10001097,Binders,Avery Hole Reinforcements,1.3083,31-3-2014,0.5607
Office Supplies,1.941,CA-2016-146521,7/23/2016,Second Class,CC-12610,Corey Catlett,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000301,Binders,GBC Instant Report Kit,1.3587,21-7-2016,0.647
Office Supplies,1.968,CA-2015-119690,6/28/2015,First Class,MV-17485,Mark Van Huff,Consumer,United States,Houston,Texas,Central,OFF-BI-10000201,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",0.7872,25-6-2015,0.492
Office Supplies,1.996,CA-2017-112536,5/23/2017,Standard Class,SG-20890,Susan Gilcrest,Corporate,United States,Mcallen,Texas,Central,OFF-BI-10002571,Binders,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",1.5968,18-5-2017,'-1.2974
Office Supplies,10.08,CA-2014-136280,6/12/2014,Standard Class,Co-12640,Corey-Lock,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-LA-10000452,Labels,Avery 488,1.008,29-11-2014,11.844
Office Supplies,10.08,CA-2015-148705,3/18/2015,Standard Class,EB-14170,Evan Bailliet,Consumer,United States,Charlotte,North Carolina,South,OFF-LA-10001641,Labels,Avery 518,1.008,3-12-2015,11.844
Office Supplies,10.08,CA-2016-104311,6/5/2016,Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,Irving,Texas,Central,OFF-LA-10000973,Labels,Avery 502,1.008,5-2-2016,11.844
Office Supplies,10.08,CA-2016-142370,9/23/2016,Standard Class,TP-21130,Theone Pippenger,Consumer,United States,Columbus,Georgia,South,OFF-SU-10003002,Supplies,Letter Slitter,0,19-9-2016,10.2312
Office Supplies,10.08,US-2014-135881,5/27/2014,Standard Class,GT-14710,Greg Tran,Consumer,United States,New York City,New York,East,OFF-SU-10003002,Supplies,Letter Slitter,0,23-5-2014,10.2312
Office Supplies,10.08,US-2015-128090,8/22/2015,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,West,OFF-LA-10000452,Labels,Avery 488,1.008,16-8-2015,11.844
Office Supplies,10.08,US-2017-154872,5/18/2017,Standard Class,DP-13000,Darren Powers,Consumer,United States,Cleveland,Ohio,East,OFF-LA-10000973,Labels,Avery 502,1.008,14-5-2017,11.844
Office Supplies,10.098,CA-2015-149384,10/7/2015,Same Day,EH-13945,Eric Hoffmann,Consumer,United States,Tempe,Arizona,West,OFF-BI-10003196,Binders,Accohide Poly Flexible Ring Binders,2.3562,7-10-2015,7.854
Office Supplies,10.16,CA-2015-105970,7/3/2015,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Richmond,Indiana,Central,OFF-AR-10003156,Art,50 Colored Long Pencils,0,3-2-2015,12.8016
Office Supplies,10.304,US-2014-118486,8/4/2014,First Class,SD-20485,Shirley Daniels,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-SU-10004498,Supplies,Martin-Yale Premier Letter Opener,2.0608,4-6-2014,8.1144
Office Supplies,10.32,CA-2016-152534,6/25/2016,Second Class,DP-13105,Dave Poirier,Corporate,United States,Salinas,California,West,OFF-AR-10002335,Art,DIXON Oriole Pencils,0,20-6-2016,11.6616
Office Supplies,10.32,CA-2017-101665,1/12/2017,Standard Class,TZ-21580,Tracy Zic,Consumer,United States,San Francisco,California,West,OFF-AR-10002335,Art,DIXON Oriole Pencils,0,25-11-2017,11.6616
Office Supplies,10.4,CA-2017-140872,10/6/2017,Standard Class,NR-18550,Nick Radford,Consumer,United States,Pembroke Pines,Florida,South,OFF-AP-10003622,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",1.04,6-3-2017,10.985
Office Supplies,10.4,US-2015-161991,9/28/2015,Second Class,SC-20725,Steven Cartwright,Consumer,United States,Houston,Texas,Central,OFF-BI-10004967,Binders,Round Ring Binders,1.664,26-9-2015,6.968
Office Supplies,10.428,CA-2014-124079,12/17/2014,Standard Class,RF-19345,Randy Ferguson,Corporate,United States,Phoenix,Arizona,West,OFF-BI-10002103,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",3.6498,13-12-2014,6.2568
Office Supplies,10.428,CA-2016-134936,12/25/2016,Standard Class,ES-14080,Erin Smith,Corporate,United States,Tucson,Arizona,West,OFF-BI-10002103,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",3.6498,19-12-2016,6.2568
Office Supplies,10.44,CA-2014-160066,11/22/2014,Standard Class,AH-10075,Adam Hart,Corporate,United States,Huntington Beach,California,West,OFF-LA-10001045,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,0,16-11-2014,12.8412
Office Supplies,10.44,CA-2016-149454,7/26/2016,First Class,KM-16375,Katherine Murray,Home Office,United States,Arlington,Virginia,South,OFF-BI-10003694,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",0,25-7-2016,15.2424
Office Supplies,10.44,CA-2017-131653,5/2/2017,Standard Class,RD-19585,Rob Dowd,Consumer,United States,New York City,New York,East,OFF-LA-10001045,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,0,29-1-2017,12.8412
Office Supplies,10.476,CA-2015-113628,11/19/2015,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Plantation,Florida,South,OFF-BI-10003291,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,3.6666,11-12-2015,6.4602
Office Supplies,10.48,CA-2015-120845,2/10/2015,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Murfreesboro,Tennessee,South,OFF-PA-10004665,Paper,Advantus Motivational Note Cards,2.096,25-9-2015,14.279
Office Supplies,10.48,US-2017-133312,11/29/2017,Standard Class,BD-11500,Bradley Drucker,Consumer,United States,San Francisco,California,West,OFF-ST-10001325,Storage,Sterilite Officeware Hinged File Box,0,25-11-2017,13.3096
Office Supplies,10.496,CA-2014-131947,9/22/2014,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Springfield,Oregon,West,OFF-AR-10001473,Art,Newell 313,1.0496,17-9-2014,10.9552
Office Supplies,10.496,CA-2015-109939,12/5/2015,Standard Class,AA-10375,Allen Armold,Consumer,United States,Salem,Oregon,West,OFF-AR-10000127,Art,Newell 321,1.0496,5-8-2015,11.0864
Office Supplies,10.496,CA-2016-134474,7/1/2016,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,OFF-AR-10003958,Art,Newell 337,1.0496,1-5-2016,11.0864
Office Supplies,10.496,CA-2017-106852,6/27/2017,Standard Class,ST-20530,Shui Tom,Consumer,United States,Parma,Ohio,East,OFF-AR-10003829,Art,Newell 35,1.0496,20-6-2017,11.0864
Office Supplies,10.496,CA-2017-131632,4/11/2017,Standard Class,AH-10120,Adrian Hane,Home Office,United States,Dallas,Texas,Central,OFF-AR-10003651,Art,Newell 350,1.0496,31-10-2017,11.0864
Office Supplies,10.496,CA-2017-140298,5/17/2017,Standard Class,JK-16120,Julie Kriz,Home Office,United States,Austin,Texas,Central,OFF-AR-10003481,Art,Newell 348,1.0496,5-11-2017,11.0864
Office Supplies,10.496,CA-2017-144638,3/14/2017,Standard Class,MH-18115,Mick Hernandez,Home Office,United States,Chester,Pennsylvania,East,OFF-AR-10003958,Art,Newell 337,1.0496,3-10-2017,11.0864
Office Supplies,10.56,CA-2016-128517,4/14/2016,Second Class,SW-20350,Sean Wendt,Home Office,United States,Detroit,Michigan,Central,OFF-BI-10000831,Binders,Storex Flexible Poly Binders with Double Pockets,0,4-9-2016,12.9888
Office Supplies,10.64,CA-2017-143567,5/11/2017,Second Class,TB-21175,Thomas Boland,Corporate,United States,Henderson,Kentucky,South,OFF-EN-10004846,Envelopes,Letter or Legal Size Expandable Poly String Tie Envelopes,0,11-2-2017,13.2468
Office Supplies,10.656,CA-2017-134285,12/12/2017,Standard Class,DS-13180,David Smith,Corporate,United States,San Antonio,Texas,Central,OFF-FA-10000611,Fasteners,Binder Clips by OIC,0.7104,12-7-2017,11.8992
Office Supplies,10.656,US-2017-100930,12/4/2017,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,South,OFF-BI-10001679,Binders,GBC Instant Index System for Binding Systems,3.7296,4-7-2017,7.104
Office Supplies,10.67,CA-2015-162537,3/11/2015,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Henderson,Kentucky,South,OFF-EN-10003862,Envelopes,Laser & Ink Jet Business Envelopes,0,28-10-2015,15.5782
Office Supplies,10.68,CA-2014-118976,3/5/2014,Standard Class,MY-18295,Muhammed Yedwab,Corporate,United States,Baltimore,Maryland,East,OFF-AR-10004752,Art,Blackstonian Pencils,0,28-4-2014,12.1752
Office Supplies,10.68,US-2017-149006,8/12/2017,Second Class,BN-11470,Brad Norvell,Corporate,United States,Brentwood,California,West,OFF-ST-10003221,Storage,Staple magnet,0,12-6-2017,13.5636
Office Supplies,10.688,CA-2015-107083,11/27/2015,Standard Class,BB-11545,Brenda Bowman,Corporate,United States,Fort Worth,Texas,Central,OFF-AR-10002257,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",1.0688,21-11-2015,11.4228
Office Supplies,10.688,CA-2016-113390,10/15/2016,Standard Class,EP-13915,Emily Phan,Consumer,United States,Chicago,Illinois,Central,OFF-AR-10003183,Art,Avery Fluorescent Highlighter Four-Color Set,1.0688,10-11-2016,11.356
Office Supplies,10.688,CA-2017-133648,2/7/2017,Standard Class,ML-17755,Max Ludwig,Home Office,United States,Springfield,Oregon,West,OFF-AR-10002257,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",1.0688,25-6-2017,11.4228
Office Supplies,10.692,CA-2015-100818,5/6/2015,Second Class,JM-15265,Janet Molinari,Corporate,United States,Chicago,Illinois,Central,OFF-BI-10004364,Binders,Storex Dura Pro Binders,2.8512,31-5-2015,4.455
Office Supplies,10.692,US-2016-131611,9/11/2016,Standard Class,EP-13915,Emily Phan,Consumer,United States,Houston,Texas,Central,OFF-BI-10004364,Binders,Storex Dura Pro Binders,2.8512,11-5-2016,4.455
Office Supplies,10.692,US-2017-105389,10/28/2017,Second Class,DM-13015,Darrin Martin,Consumer,United States,San Antonio,Texas,Central,OFF-BI-10004364,Binders,Storex Dura Pro Binders,2.8512,23-10-2017,4.455
Office Supplies,10.692,US-2017-118556,2/6/2017,Second Class,TH-21235,Tiffany House,Corporate,United States,Chicago,Illinois,Central,OFF-BI-10004364,Binders,Storex Dura Pro Binders,2.8512,28-5-2017,4.455
Office Supplies,10.744,CA-2015-133837,4/18/2015,Standard Class,TH-21100,Thea Hendricks,Consumer,United States,Glendale,Arizona,West,OFF-ST-10000344,Storage,"Neat Ideas Personal Hanging Folder Files, Black",2.1488,13-4-2015,11.5498
Office Supplies,10.744,CA-2017-159884,5/9/2017,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,Tempe,Arizona,West,OFF-ST-10000344,Storage,"Neat Ideas Personal Hanging Folder Files, Black",2.1488,31-8-2017,11.5498
Office Supplies,10.784,CA-2016-145240,8/9/2016,First Class,BG-11740,Bruce Geld,Consumer,United States,Houston,Texas,Central,OFF-ST-10001590,Storage,"Tenex Personal Project File with Scoop Front Design, Black",2.1568,9-6-2016,11.5928
Office Supplies,10.864,CA-2017-147207,4/1/2017,Second Class,TS-21655,Trudy Schmidt,Consumer,United States,El Paso,Texas,Central,OFF-AP-10000027,Appliances,Hoover Commercial SteamVac,4.3456,1-2-2017,'-2.716
Office Supplies,10.89,CA-2017-110842,11/16/2017,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Los Angeles,California,West,OFF-AP-10003971,Appliances,Belkin 6 Outlet Metallic Surge Strip,0,11-11-2017,13.7214
Office Supplies,10.9,CA-2017-145037,7/9/2017,Second Class,TB-21055,Ted Butterfield,Consumer,United States,Meriden,Connecticut,East,OFF-ST-10000918,Storage,Crate-A-Files,0,9-2-2017,13.734
Office Supplies,10.944,CA-2014-165428,4/9/2014,First Class,JL-15130,Jack Lebron,Consumer,United States,Houston,Texas,Central,OFF-BI-10002949,Binders,Prestige Round Ring Binders,2.9184,9-1-2014,4.9248
Office Supplies,10.96,CA-2014-167199,10/1/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,OFF-AR-10001662,Art,Rogers Handheld Barrel Pencil Sharpener,0,1-6-2014,12.4396
Office Supplies,10.98,CA-2014-166961,12/31/2014,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,Moreno Valley,California,West,OFF-AP-10001366,Appliances,Staple holder,0,27-12-2014,13.9446
Office Supplies,100.08,CA-2017-169264,8/16/2017,Second Class,NP-18700,Nora Preis,Consumer,United States,San Francisco,California,West,OFF-AR-10000246,Art,Newell 318,0,14-8-2017,104.4168
Office Supplies,100.107,CA-2014-165764,7/11/2014,Standard Class,SH-20395,Shahid Hopkins,Consumer,United States,Jacksonville,North Carolina,South,OFF-BI-10002982,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,10.0107,11-3-2014,89.6196
Office Supplies,100.107,CA-2015-150714,1/11/2015,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Springfield,Oregon,West,OFF-BI-10002982,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,10.0107,26-10-2015,89.6196
Office Supplies,100.224,CA-2014-115133,9/30/2014,Standard Class,DA-13450,Dianna Arnett,Home Office,United States,Lancaster,Ohio,East,OFF-AP-10001634,Appliances,Hoover Commercial Lightweight Upright Vacuum,3.3408,26-9-2014,101.4768
Office Supplies,100.512,CA-2016-124590,11/16/2016,Standard Class,SP-20920,Susan Pistek,Consumer,United States,Parma,Ohio,East,OFF-FA-10000585,Fasteners,OIC Bulk Pack Metal Binder Clips,3.3504,11-12-2016,105.9564
Office Supplies,100.584,CA-2016-114405,12/4/2016,Standard Class,AS-10240,Alan Shonely,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AP-10003278,Appliances,Belkin 7-Outlet SurgeMaster Home Series,6.7056,4-7-2016,103.0986
Office Supplies,100.704,US-2015-150161,7/29/2015,Standard Class,RB-19795,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001524,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,17.6232,25-7-2015,82.2416
Office Supplies,100.8,US-2016-117793,8/29/2016,Standard Class,MA-17560,Matt Abelman,Home Office,United States,Sheboygan,Wisconsin,Central,OFF-LA-10002945,Labels,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",0,23-8-2016,112.392
Office Supplies,100.89,CA-2015-137708,11/25/2015,Second Class,NG-18430,Nathan Gelder,Consumer,United States,Los Angeles,California,West,OFF-ST-10004634,Storage,"Personal Folder Holder, Ebony",0,22-11-2015,110.979
Office Supplies,100.89,US-2016-150861,6/12/2016,First Class,EG-13900,Emily Grady,Consumer,United States,Oceanside,New York,East,OFF-ST-10004634,Storage,"Personal Folder Holder, Ebony",0,12-3-2016,110.979
Office Supplies,100.992,CA-2016-133697,10/24/2016,Second Class,CM-12445,Chuck Magee,Consumer,United States,Houston,Texas,Central,OFF-FA-10003112,Fasteners,Staples,5.0496,20-10-2016,108.882
Office Supplies,1002.4,CA-2014-151897,10/6/2014,Standard Class,VT-21700,Valerie Takahito,Home Office,United States,Houston,Texas,Central,OFF-LA-10001074,Labels,Round Specialty Laser Printer Labels,20.048,6-6-2014,1036.231
Office Supplies,1002.4,US-2016-141544,1/9/2016,First Class,PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-LA-10001074,Labels,Round Specialty Laser Printer Labels,20.048,30-8-2016,1036.231
Office Supplies,1002.88,CA-2016-159891,6/2/2016,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,OFF-EN-10004483,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",0,31-1-2016,1061.7992
Office Supplies,1003.752,CA-2016-162313,11/30/2016,First Class,VB-21745,Victoria Brennan,Corporate,United States,Lincoln Park,Michigan,Central,OFF-AP-10003842,Appliances,Euro-Pro Shark Turbo Vacuum,16.7292,27-11-2016,1033.4928
Office Supplies,1005.048,CA-2016-100671,4/11/2016,First Class,CS-12490,Cindy Schnelling,Corporate,United States,Conroe,Texas,Central,OFF-ST-10004950,Storage,"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",22.3344,11-1-2016,1012.0275
Office Supplies,1005.048,CA-2016-169334,10/24/2016,Second Class,GW-14605,Giulietta Weimer,Consumer,United States,Jackson,Tennessee,South,OFF-ST-10004950,Storage,"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",22.3344,21-10-2016,1012.0275
Office Supplies,1005.12,CA-2017-115364,2/7/2017,Standard Class,OT-18730,Olvera Toch,Consumer,United States,San Diego,California,West,OFF-ST-10002486,Storage,Eldon Shelf Savers Cubes and Bins,0,26-6-2017,1006.7952
Office Supplies,10061.28,CA-2014-108147,6/13/2014,Standard Class,RD-19480,Rick Duston,Consumer,United States,Long Beach,New York,East,OFF-ST-10003470,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",0,6-8-2014,10145.124
Office Supplies,101.376,CA-2016-127243,4/12/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-FA-10004076,Fasteners,Translucent Push Pins by OIC,2.5344,28-11-2016,104.0688
Office Supplies,101.376,CA-2017-158883,3/6/2017,Same Day,CS-11860,Cari Schnelling,Consumer,United States,Jacksonville,North Carolina,South,OFF-PA-10004733,Paper,Things To Do Today Spiral Book,5.0688,6-2-2017,110.5632
Office Supplies,101.568,CA-2016-153661,1/31/2016,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-BI-10004781,Binders,GBC Wire Binding Strips,10.1568,30-1-2016,119.3424
Office Supplies,101.61,US-2016-108455,8/12/2016,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,San Francisco,California,West,OFF-ST-10002214,Storage,X-Rack File for Hanging Folders,0,12-2-2016,110.4162
Office Supplies,101.79,US-2017-160465,7/26/2017,Standard Class,SW-20350,Sean Wendt,Home Office,United States,Cleveland,Ohio,East,OFF-BI-10001670,Binders,Vinyl Sectional Post Binders,23.751,21-7-2017,79.17
Office Supplies,101.97,CA-2017-110905,9/15/2017,Second Class,RW-19690,Robert Waldorf,Consumer,United States,Springfield,Missouri,Central,OFF-AP-10004785,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",0,9-10-2017,116.5857
Office Supplies,1011.136,CA-2017-118773,2/14/2017,Standard Class,TP-21415,Tom Prescott,Consumer,United States,Houston,Texas,Central,OFF-BI-10004584,Binders,GBC ProClick 150 Presentation Binding System,202.2272,2-9-2017,594.0424
Office Supplies,10137.12,CA-2015-146563,8/28/2015,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,Central,OFF-ST-10001511,Storage,Space Solutions Commercial Steel Shelving,144.816,24-8-2015,10001.355
Office Supplies,1014.12,CA-2016-114727,7/24/2016,Standard Class,LS-16945,Linda Southworth,Corporate,United States,Denver,Colorado,West,OFF-ST-10000689,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",67.608,18-7-2016,980.316
Office Supplies,1014.12,US-2016-131149,7/14/2016,Standard Class,LH-17155,Logan Haushalter,Consumer,United States,Dallas,Texas,Central,OFF-ST-10000689,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",67.608,7-10-2016,980.316
